name,value,rule,source
a2b_n_cells,138,fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_anchor_max_abs_diff,7.771561172e-16,max |anchor - A1 coverage|,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_cov_C_unit,0.8561922812,mean over fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_cov_C_block,0.7441704054,mean over fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_diff_mean,0.1120218758,mean of C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_diff_sd,0.07253634458,sd (ddof=1) of C_unit - C_block over fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_n_block_below_unit,138,count C_block < C_unit,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_width_C_unit,2.72386729,mean over fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_width_C_block,1.811193577,mean over fold rows,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_unit_minus_a1_mean,0.0004750545686,mean C_unit - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_unit_minus_a1_sd,0.00917582807,sd,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_block_minus_a1_mean,-0.1115468213,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_block_minus_a1_median,-0.09558768898,median C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_pct_block_minus_a1_in_010_020,31.88405797,"% of cells with C_block - A1 in [-0.20,-0.10]",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_pct_nC_unit_of_anchor,37.94097268,100*mean n_C C_unit / mean n_C anchor,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_pct_nT_unit_of_anchor,67.35057083,100*mean n_T C_unit / mean n_T anchor,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_CCRCC_shipped_n_folds,24,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_CCRCC_shipped_cov_C_unit,0.8660224754,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_CCRCC_shipped_cov_C_block,0.7927561976,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_CCRCC_shipped_diff,0.0732662778,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_CCRCC_shipped_block_minus_a1,-0.07141412827,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_COAD_shipped_n_folds,4,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_COAD_shipped_cov_C_unit,0.8688432849,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_COAD_shipped_cov_C_block,0.7236211266,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_COAD_shipped_diff,0.1452221583,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_COAD_shipped_block_minus_a1,-0.1466764106,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_audited_n_folds,3,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_audited_cov_C_unit,0.8336605071,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_audited_cov_C_block,0.5520564682,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_audited_diff,0.2816040389,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_audited_block_minus_a1,-0.2825719745,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_shipped_n_folds,4,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_shipped_cov_C_unit,0.8296535741,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_shipped_cov_C_block,0.6131704581,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_shipped_diff,0.216483116,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_IDC_shipped_block_minus_a1,-0.2159077302,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_LYMPH_IDC_shipped_n_folds,4,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_LYMPH_IDC_shipped_cov_C_unit,0.8163304007,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_LYMPH_IDC_shipped_cov_C_block,0.7212257356,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_LYMPH_IDC_shipped_diff,0.0951046651,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_LYMPH_IDC_shipped_block_minus_a1,-0.09671751859,mean C_block - A1,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_PAAD_shipped_n_folds,3,distinct folds,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_PAAD_shipped_cov_C_unit,0.8979513826,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_PAAD_shipped_cov_C_block,0.7309483488,"mean over fold rows, 3 encoders",A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
a2b_PAAD_shipped_diff,0.1670030337,mean C_unit - C_block,A2_conditional/a2_unit_intervention.csv (scope=fold); A1_coverage/a1_by_fold__<enc>__main.csv
