encoder,paper_name,paper_avg,our_avg,paper_printed,diff,paper_rank,our_rank
hoptimus0,H-Optimus-0,0.41455555555555557,0.4150222222222222,0.4146,0.0004,1,1
uni_v2,UNIv1.5,0.40896666666666665,0.41419999999999996,0.409,0.0052,2,2
virchow2,Virchow2,0.3984333333333333,0.40334444444444445,0.3984,0.0049,3,4
virchow,Virchow,0.3977,0.40604444444444443,0.3977,0.0083,4,3
uni_v1,UNI,0.3861666666666667,0.38562222222222226,0.3862,-0.0006,5,6
gigapath,GigaPath,0.3852777777777778,0.3874888888888889,0.3853,0.0022,6,5
conch_v1,CONCH,0.37091111111111114,0.3696111111111111,0.3709,-0.0013,7,7
phikon,Phikon,0.3655555555555556,0.3660555555555556,0.3656,0.0005,8,8
ctranspath,CTransPath,0.3447,0.3468333333333333,0.3447,0.0021,9,9
resnet50,ResNet50 (IN),0.3259666666666667,0.32524444444444445,0.326,-0.0008,10,10
