fragment,task,label_set,design,score,stratum,stratum_value,agg_unit,n_cells,coverage_mean,coverage_sd,width_mean,width_median,detail,encoder,fold,n_spot_gene,n_covered,coverage,pred_mean,n_folds
anatomy,CCRCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,864,0.8642708075597049,0.1443153774122629,2.129581012145231,2.1123671359817884,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,864,0.8738098831432775,0.1267127552463567,2.163507918320894,2.1524480736181126,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,patient,abs,cal_shares_session_with_test,True,cell,216,0.8562755815761778,0.09818135472653015,2.241713029049132,2.134828199717271,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,216,0.8724672680394582,0.061919736321473594,2.281936605394385,2.271762217483328,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,random,abs,cal_shares_session_with_test,True,cell,360,0.8809874361442861,0.003065770440121744,1.6441491668616661,1.6231693624327928,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,random,scaled,cal_shares_session_with_test,True,cell,360,0.8998873140515011,0.0015908734842510076,1.6307604305774084,1.6070858162901847,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,donor,abs,cal_shares_session_with_test,True,cell,144,0.8663109627208065,0.03109509957107045,3.3663424630679897,3.2984881841106044,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,donor,scaled,cal_shares_session_with_test,True,cell,144,0.8670479751945714,0.041849676504014506,5.524065776905618,4.098931737577874,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.7206847690903608,0.11600998078953136,2.5391895092035326,2.516578882442507,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.6977053790620552,0.14266349895746014,2.8305022048338975,2.5391394878248255,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.8963215563182992,0.0029229958200632264,2.2380458509084433,2.187348667319595,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8998468970757945,0.001956866097616782,2.388148509347423,2.330751655771704,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,72,0.749651142619571,0.045778391137313086,1.5886531787828488,1.617516814396473,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,72,0.7545512635686986,0.05161182417051082,4.624838096846903,3.8233757103493975,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.7595508442005408,0.03392807300290262,1.6108984140966427,1.634853574407789,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.7510262073366835,0.04868220252782732,3.3386065078643927,2.858078488788292,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.9019473510592528,0.0026447355051888674,1.606606772315888,1.6018257113757124,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8986113970419031,0.004457853315698294,2.3175341570652583,2.1757603055728163,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,donor,abs,cal_shares_session_with_test,False,cell,36,0.832674297820607,0.07145931939300397,4.732498896600104,4.695636893186679,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,donor,scaled,cal_shares_session_with_test,False,cell,36,0.8217288012520065,0.06873308389479549,75.03069168070321,15.383732447673976,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,abs,cal_shares_session_with_test,False,cell,132,0.8196407544775741,0.07673509916748956,4.16712878512163,3.9931523514431273,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,abs,cal_shares_session_with_test,True,cell,12,0.8320218197582004,0.015483294281327617,4.0573608848472675,3.9752388326396684,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,scaled,cal_shares_session_with_test,False,cell,132,0.8255650401561515,0.07705464548599401,27.388094238927355,6.855108236101003,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,scaled,cal_shares_session_with_test,True,cell,12,0.8409525071046674,0.026739976923906356,28.264904665080394,5.1739127441193125,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,random,abs,cal_shares_session_with_test,True,cell,240,0.8773259827436848,0.003572672782333764,2.2861576718190983,2.2425818949715195,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,random,scaled,cal_shares_session_with_test,True,cell,240,0.8932117863622707,0.002832351665400017,2.5171890867385636,2.449593906613864,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,slide_out,abs,cal_shares_session_with_test,False,cell,120,0.8346960244935374,0.09304233904318908,4.334926211168636,4.437645598169956,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,slide_out,abs,cal_shares_session_with_test,True,cell,24,0.8314276216146171,0.014979604723547566,3.9872094214684406,3.892465207360882,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,slide_out,scaled,cal_shares_session_with_test,False,cell,120,0.8409899548701188,0.07922562826776376,19.417147541351362,5.510434374865156,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,slide_out,scaled,cal_shares_session_with_test,True,cell,24,0.8372484934600148,0.024187707469520592,24.463888829409722,4.4022889233156555,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,donor,abs,cal_shares_session_with_test,False,cell,132,0.8273101058875408,0.09000225760000742,4.210773999677541,3.953265271007135,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,donor,abs,cal_shares_session_with_test,True,cell,12,0.829884238074595,0.01555784221327745,3.981532211427769,3.8917174844338396,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,donor,scaled,cal_shares_session_with_test,False,cell,132,0.8310006225596868,0.08180941004121985,17.53280183093377,4.940895134862609,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,12,0.8300429491193424,0.025758533402619847,18.961686505002117,4.195994243743394,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,patient,abs,cal_shares_session_with_test,False,cell,132,0.8186001234888209,0.07472769274292015,4.088563589912476,3.875921575303344,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,patient,abs,cal_shares_session_with_test,True,cell,12,0.829884238074595,0.01555784221327745,3.981532211427769,3.8917174844338396,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,patient,scaled,cal_shares_session_with_test,False,cell,132,0.8202180200844561,0.08028908061992987,15.965749482882892,4.482056400025682,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,12,0.8300429491193424,0.025758533402619847,18.961686505002117,4.195994243743394,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,random,abs,cal_shares_session_with_test,True,cell,240,0.8781584951665491,0.0035496199870986853,2.2293657598612233,2.1888652416248098,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,shipped,random,scaled,cal_shares_session_with_test,True,cell,240,0.8963624673094908,0.001864949570621346,2.3405532107932894,2.287734438974228,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,donor,abs,cal_shares_session_with_test,True,cell,72,0.6188143813619692,0.02518182704903335,2.1372679316729575,2.0894932241920428,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,donor,scaled,cal_shares_session_with_test,True,cell,72,0.6325501063990242,0.04026097898299797,2.6912732616023844,2.612603670950297,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.6273202582066931,0.025446787723816765,2.179412263456036,2.151371877725243,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.652779187314287,0.045916463689773736,2.8709168011130894,2.7952545422764645,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.8997925994464125,0.0030792378986391157,2.1618465657970534,2.0969897721252586,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LUNG,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.9011561472175582,0.0033306632770963573,2.7623195287008504,2.6149429691543,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,donor,abs,cal_shares_session_with_test,True,cell,144,0.8180997066793995,0.12493576511815405,2.4351637242146666,2.4862325870877062,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,144,0.8151019635292437,0.09621423209949138,3.5442963249703654,2.8602100097195127,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,patient,abs,cal_shares_session_with_test,True,cell,144,0.8043040606706451,0.11693318461777014,2.3096906383041986,2.3542155180570554,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,144,0.7993251894602245,0.08835461149807956,3.0755237152259025,2.651859245746743,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,random,abs,cal_shares_session_with_test,True,cell,240,0.9003210680515236,0.002057391178388764,1.5214376626193666,1.5040743230413849,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,LYMPH_IDC,shipped,random,scaled,cal_shares_session_with_test,True,cell,240,0.9002679706253861,0.0016923440837986405,1.4440846195966084,1.4251976383686595,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,donor,abs,cal_shares_session_with_test,False,cell,36,0.8944879557308106,0.031453822248320225,3.273373387659379,3.112308365275103,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,donor,scaled,cal_shares_session_with_test,False,cell,36,0.8661216655211157,0.04254652150390811,39.845247541966465,17.588003599012612,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,patient,abs,cal_shares_session_with_test,False,cell,36,0.8686083698060012,0.05115257764128329,3.2981105436242597,3.309887644049083,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,patient,scaled,cal_shares_session_with_test,False,cell,36,0.8504216297639143,0.035766732178160746,39.3182427093624,16.59717213921398,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,random,abs,cal_shares_session_with_test,True,cell,180,0.8929917408198471,0.002687442861823025,2.0804975598708544,2.043262074723006,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PAAD,shipped,random,scaled,cal_shares_session_with_test,True,cell,180,0.9022013116049611,0.0028724640204680287,2.419399760381175,2.3700308492134434,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PRAD,shipped,donor,abs,cal_shares_session_with_test,False,cell,72,0.8713187860774484,0.06860256586066647,2.286279742655826,2.173105919822872,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=False,,,,,,,
anatomy,PRAD,shipped,donor,scaled,cal_shares_session_with_test,False,cell,72,0.82659157940618,0.052539833133092496,7.1168740115021585,1.8896110564795856,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=False,,,,,,,
anatomy,PRAD,shipped,patient,abs,cal_shares_session_with_test,False,cell,72,0.8749040807239331,0.07730768987345919,2.2570495444305054,2.192137246524304,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=False,,,,,,,
anatomy,PRAD,shipped,patient,scaled,cal_shares_session_with_test,False,cell,72,0.8643637366847334,0.047621964109025174,6.530015482774185,2.0370188355097456,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=False,,,,,,,
anatomy,PRAD,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.9035930916996768,0.0018234285220315092,1.8449789225400863,1.8387900395379213,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=True,,,,,,,
anatomy,PRAD,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8978688047212243,0.0017060693354233275,1.673877387366431,1.6594313776340184,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=True,,,,,,,
anatomy,PRAD,shipped,slide_out,abs,cal_shares_session_with_test,False,cell,84,0.8118950452586956,0.1459290475925459,1.756316704512013,1.6984065363769811,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PRAD,shipped,slide_out,abs,cal_shares_session_with_test,True,cell,744,0.9066787723511832,0.07685901575238624,2.126563888082721,2.0983907325428013,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=False;True,,,,,,,
anatomy,PRAD,shipped,slide_out,scaled,cal_shares_session_with_test,False,cell,84,0.8930691867664686,0.054841643114243145,1.9429843004710503,2.11981589917995,calibration_unit=slide | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,PRAD,shipped,slide_out,scaled,cal_shares_session_with_test,True,cell,744,0.9002472890028989,0.046509446071556174,1.9434179801350022,1.9048572131241865,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=False;True,,,,,,,
anatomy,READ,shipped,donor,abs,cal_shares_session_with_test,True,cell,24,0.8106729364470135,0.09074745926550218,1.7104037621999266,1.682613252994398,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,donor,scaled,cal_shares_session_with_test,True,cell,24,0.8371146615705948,0.049325239555193884,16.368092587319722,6.720948815847208,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,patient,abs,cal_shares_session_with_test,True,cell,24,0.809617950843961,0.09203365318937391,1.7106971742364196,1.6824167032904591,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,patient,scaled,cal_shares_session_with_test,True,cell,24,0.8352371029443945,0.0506819470833364,16.11988531215847,5.2847102581597145,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.8976322549315798,0.0020286925554014713,1.4481396709243834,1.440703742944979,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.9019779398484218,0.0022161193140901245,1.7101399894846467,1.683193406557223,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,slide_out,abs,cal_shares_session_with_test,True,cell,144,0.8442698617938813,0.0917586928338318,1.6528084605829978,1.651305059001869,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,READ,shipped,slide_out,scaled,cal_shares_session_with_test,True,cell,144,0.8734572732334445,0.056883671376595946,5.216921527678554,3.0335198479945538,calibration_unit=slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,donor,abs,cal_shares_session_with_test,False,cell,72,0.6731084661725605,0.056251165758803436,2.516809875134456,2.4154738645037392,calibration_unit=block | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,donor,scaled,cal_shares_session_with_test,False,cell,72,0.7190092850119524,0.06621186462873746,6.980809673289064,5.535202375868412,calibration_unit=block | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,patient,abs,cal_shares_session_with_test,False,cell,72,0.6871530997481394,0.05391234026331879,2.5918843714701705,2.559996365281783,calibration_unit=block | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,patient,scaled,cal_shares_session_with_test,False,cell,72,0.7128402272564727,0.06420760754696742,7.6055294058542255,5.097687448881582,calibration_unit=block | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.9019890732672077,0.004965408163606034,2.436644848848107,2.3445748638090693,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,SKCM,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.9008735173865151,0.004768871424459556,3.9453312319847424,3.4271809280685313,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,donor,abs,donor_label_status,verified,cell_slide,288,0.8642708075597048,0.1395940968721763,2.129581012145231,2.1103035715244802,,,,,,,,
anatomy,CCRCC,shipped,donor,scaled,donor_label_status,verified,cell_slide,288,0.8738098831432775,0.12332275779659371,2.163507918320894,2.2002145648465388,,,,,,,,
anatomy,CCRCC,shipped,patient,abs,donor_label_status,verified,cell_slide,288,0.8562755815761779,0.14233836208350178,2.241713029049132,2.303552730063442,,,,,,,,
anatomy,CCRCC,shipped,patient,scaled,donor_label_status,verified,cell_slide,288,0.8724672680394581,0.12345300286807825,2.281936605394385,2.3078598262376087,,,,,,,,
anatomy,CCRCC,shipped,random,abs,donor_label_status,verified,cell_slide,1728,0.880987436144286,0.07271456342140671,1.6441491668616661,1.6237811990122775,,,,,,,,
anatomy,CCRCC,shipped,random,scaled,donor_label_status,verified,cell_slide,1728,0.8998873140515011,0.019458393858258722,1.6307604305774086,1.6122773947404483,,,,,,,,
anatomy,COAD,shipped,donor,abs,donor_label_status,contradicted,cell_slide,36,0.8744201736104595,0.028604125536927393,3.430859325830836,3.4372470833042006,,,,,,,,
anatomy,COAD,shipped,donor,abs,donor_label_status,verified,cell_slide,12,0.8419833300518474,0.017698786612555646,3.172791874779451,3.1697401880665943,,,,,,,,
anatomy,COAD,shipped,donor,scaled,donor_label_status,contradicted,cell_slide,36,0.8770229993982208,0.03138721662604269,6.080618650031009,4.187205150522165,,,,,,,,
anatomy,COAD,shipped,donor,scaled,donor_label_status,verified,cell_slide,12,0.8371229025836232,0.03371733022524299,3.854407157529446,3.6505828352148058,,,,,,,,
anatomy,COAD,shipped,patient,abs,donor_label_status,contradicted,cell_slide,36,0.6084688140661759,0.04741496910462468,1.9092215429191692,1.895402226661014,,,,,,,,
anatomy,COAD,shipped,patient,abs,donor_label_status,verified,cell_slide,12,0.8329007241145457,0.025105215399340186,3.169157475487896,3.1585407375826655,,,,,,,,
anatomy,COAD,shipped,patient,scaled,donor_label_status,contradicted,cell_slide,36,0.561866534633047,0.048314157626695775,1.8302683505051778,1.822490904722304,,,,,,,,
anatomy,COAD,shipped,patient,scaled,donor_label_status,verified,cell_slide,12,0.8335442234910634,0.043166158436051934,3.8307360591626174,3.766778119418384,,,,,,,,
anatomy,COAD,shipped,random,abs,donor_label_status,contradicted,cell_slide,72,0.8833864426761346,0.01883972803577432,2.2380458509084433,2.188348187898028,,,,,,,,
anatomy,COAD,shipped,random,abs,donor_label_status,verified,cell_slide,24,0.9351268972447931,0.002634550842839352,2.238045850908444,2.18834818789803,,,,,,,,
anatomy,COAD,shipped,random,scaled,donor_label_status,contradicted,cell_slide,72,0.8978242821129907,0.005421646958225002,2.4611304463426773,2.4710235482509417,,,,,,,,
anatomy,COAD,shipped,random,scaled,donor_label_status,verified,cell_slide,24,0.9059147419642053,0.004907294592378057,2.16920269836166,2.1159191358565703,,,,,,,,
anatomy,HCC,shipped,donor,abs,donor_label_status,verified,cell_slide,24,0.749651142619571,0.044583658045168215,1.5886531787828488,1.5989964009347997,,,,,,,,
anatomy,HCC,shipped,donor,scaled,donor_label_status,verified,cell_slide,24,0.7545512635686986,0.0461524744566545,4.624838096846903,4.243407061761714,,,,,,,,
anatomy,HCC,shipped,patient,abs,donor_label_status,verified,cell_slide,24,0.7595508442005406,0.0294992928679602,1.6108984140966427,1.623435364461514,,,,,,,,
anatomy,HCC,shipped,patient,scaled,donor_label_status,verified,cell_slide,24,0.7510262073366835,0.043432966119722693,3.3386065078643923,3.0500135717200756,,,,,,,,
anatomy,HCC,shipped,random,abs,donor_label_status,verified,cell_slide,48,0.9019473510592527,0.016435447871664406,1.606606772315888,1.5960900903885613,,,,,,,,
anatomy,HCC,shipped,random,scaled,donor_label_status,verified,cell_slide,48,0.8986113970419032,0.0145363021088723,2.3175341570652583,2.280274907311227,,,,,,,,
anatomy,IDC,audited,donor,abs,donor_label_status,contradicted,cell_slide,24,0.9008707972741151,0.01707866996207378,5.433997905030741,5.436655203938277,,,,,,,,
anatomy,IDC,audited,donor,abs,donor_label_status,unverifiable,cell_slide,24,0.798576048093853,0.0634550287834393,4.381749392384786,4.439937450346422,,,,,,,,
anatomy,IDC,audited,donor,scaled,donor_label_status,contradicted,cell_slide,24,0.8785604492302429,0.031083851353429903,60.6474550770655,39.04180149824927,,,,,,,,
anatomy,IDC,audited,donor,scaled,donor_label_status,unverifiable,cell_slide,24,0.7933129772628882,0.06517731971180478,82.22230998252205,8.606665922224117,,,,,,,,
anatomy,IDC,audited,patient,abs,donor_label_status,contradicted,cell_slide,24,0.8545625308045479,0.014346088895239507,4.19626271871403,4.162240251845561,,,,,,,,
anatomy,IDC,audited,patient,abs,donor_label_status,unverifiable,cell_slide,24,0.7867824890307048,0.07987763859862264,4.119700201483504,4.0530404841891565,,,,,,,,
anatomy,IDC,audited,patient,scaled,donor_label_status,contradicted,cell_slide,24,0.8698175440955741,0.025270343960134323,31.426872100334354,18.770136432269677,,,,,,,,
anatomy,IDC,audited,patient,scaled,donor_label_status,unverifiable,cell_slide,24,0.7838771140414816,0.06316314085332757,23.495451448545865,10.592466851172734,,,,,,,,
anatomy,IDC,audited,random,abs,donor_label_status,contradicted,cell_slide,96,0.9078506041950715,0.012672744707974836,2.286157671819098,2.2424261478946113,,,,,,,,
anatomy,IDC,audited,random,abs,donor_label_status,unverifiable,cell_slide,96,0.8468013612922981,0.009397858203892178,2.2861576718190983,2.2424261478946073,,,,,,,,
anatomy,IDC,audited,random,scaled,donor_label_status,contradicted,cell_slide,96,0.9032929729162088,0.003104225192299667,2.372146147258443,2.29227342048175,,,,,,,,
anatomy,IDC,audited,random,scaled,donor_label_status,unverifiable,cell_slide,96,0.8831305998083326,0.0064537341751441275,2.6622320262186845,2.571236345561453,,,,,,,,
anatomy,IDC,audited,slide_out,abs,donor_label_status,contradicted,cell_slide,24,0.8711332781213624,0.011754941907789534,4.427099988896953,4.432364240622162,,,,,,,,
anatomy,IDC,audited,slide_out,abs,donor_label_status,unverifiable,cell_slide,24,0.7971693032394057,0.10000055459792283,4.126846836873587,4.240137934795035,,,,,,,,
anatomy,IDC,audited,slide_out,scaled,donor_label_status,contradicted,cell_slide,24,0.873667139219742,0.020923401285120418,25.711978569340264,6.006224621164319,,,,,,,,
anatomy,IDC,audited,slide_out,scaled,donor_label_status,unverifiable,cell_slide,24,0.8070656167171274,0.07761351244810638,14.804563609381916,5.273109872389734,,,,,,,,
anatomy,IDC,shipped,donor,abs,donor_label_status,contradicted,cell_slide,24,0.871746394583368,0.012131426134070327,4.403831132622365,4.417649938342146,,,,,,,,
anatomy,IDC,shipped,donor,abs,donor_label_status,unverifiable,cell_slide,24,0.7833028392228893,0.09512071370032744,3.979509902024422,4.0283565682762905,,,,,,,,
anatomy,IDC,shipped,donor,scaled,donor_label_status,contradicted,cell_slide,24,0.8767418149440286,0.022004512153822178,23.07542860639659,6.8262169040128,,,,,,,,
anatomy,IDC,shipped,donor,scaled,donor_label_status,unverifiable,cell_slide,24,0.7850998179352876,0.07647407617289406,12.22832250114901,4.9095006455924,,,,,,,,
