encoder,task,fold,n_train,n_test,n_train_samples,n_common_genes,n_genes_shared,n_fold_genes_used,n_fold_genes_off_panel,genes_off_panel,pearson_pooled_shipped,pearson_pooled_fold,pearson_within_shipped,pearson_within_fold,delta_pooled,delta_within,mean_within_only_in_shipped,mean_within_only_in_fold,genes_only_in_shipped,genes_only_in_fold
virchow,IDC,0,14775,20761,3,280,34,50,0,,0.4539523281028907,0.4132024966809358,0.4539523281028907,0.4132024966809358,0.04074983142195493,0.04074983142195493,0.5816876585222791,0.45434443532867,ABCC11;ANKRD30A;AQP1;AQP3;CEACAM8;CLIC6;DST;ESR1;FASN;GATA3;KLF5;SERPINA3;TACSTD2;TCL1A;TOP2A;TPSAB1,APOC1;BANK1;CCL8;CXCL5;GZMA;KRT23;KRT7;LPL;LTB;LYPD3;LYZ;MZB1;S100A8;SFRP4;SPIB;TCIM
virchow,IDC,1,27776,7760,3,278,34,50,0,,0.6377178662683367,0.6520378049092583,0.6377178662683367,0.6520378049092583,-0.014319938640921626,-0.014319938640921626,0.6667877410295793,0.7115375492824598,CCR7;CEACAM8;CLIC6;DST;ESR1;GATA3;IL2RG;KIT;MS4A1;MYLK;OXTR;PTPRC;TACSTD2;TCL1A;TOP2A;TPSAB1,AGR3;AR;BANK1;CCDC80;CD19;CENPF;EPCAM;FLNB;LTB;MLPH;MZB1;PGR;RHOH;S100A8;SELL;TPD52
virchow,IDC,2,31526,4010,3,278,38,50,0,,0.5435895750304539,0.5030384924244385,0.5435895750304539,0.5030384924244385,0.040551082606015365,0.040551082606015365,0.6831423085820935,0.5141794643903628,CEACAM6;CEACAM8;CYTIP;DST;ERBB2;FASN;KLF5;MYLK;PTPRC;SCD;SLAMF7;TENT5C,AGR3;BANK1;CCL5;CCL8;CD19;KRT23;LTB;MLPH;MYO5B;S100A8;SFRP4;TCIM
virchow,IDC,3,32531,3005,3,278,39,50,0,,0.7031348475650134,0.7219900404230323,0.7031348475650134,0.7219900404230323,-0.018855192858018843,-0.018855192858018843,0.6668261536812206,0.7525315757631247,CD3E;CEACAM8;DST;ESR1;MMP1;SCD;SCGB2A1;SLAMF7;TACSTD2;TCL1A;TENT5C,ACTG2;AGR3;BANK1;CCL5;CD79B;CXCR4;KRT23;LTB;LYPD3;LYZ;SFRP4
virchow,LUNG,0,1944,3262,1,384,19,28,22,TRAC;TENT5C;MYC;MYH11;SFRP2;VWF;PTGDS;CA4;CCDC39;C6orf118;DES;C7;TNFRSF13B;CYP2F1;SERPINB3;TSPAN19;LGR5;UnassignedCodeword_0438;C1orf194;PRG4;TAT;C20orf85,0.5403046202730429,0.534576781346048,0.5403046202730429,0.534576781346048,0.00572783892699491,0.00572783892699491,0.5540203022830557,0.569726639390009,ACE2;ALDH1A3;BBOX1;CAPN8;CD163;CD1A;CD274;CD79A;CDK1;COL5A2;CTSK;CYP2A7;FCER1A;FGFBP1;GPRC5A;LIF;MALL;MARCO;MCEMP1;MEDAG;MKI67;MZB1;PECAM1;PLA2G7;PTPRC;SERPINB2;SNCG;SRPX;TCL1A;TOP2A;UBE2C,CD68;CCL5;SERPINB9;BANK1;CD3E;IL7R;PRDM1;RETN;MLANA
virchow,LUNG,1,3262,1944,1,480,19,22,28,CDK6;IL13RA2;CCL14;IDO1;TFF3;IGHGP;CCL21;FN1;IGHG1;IGKC;CHIT1;IL6;RGS5;ISG15;JCHAIN;APOE;IGHG3;IL1B;IGHG2;IGHG4;RGS1;IGHM;MUC5AC;IGLC3;CXCL11;MMP9;CXCL13;CXCL14,0.5928134254410653,0.5519538753294083,0.5928134254410653,0.5519538753294083,0.040859550111656984,0.040859550111656984,0.6276450234736162,0.6531024954606913,ACE2;BBOX1;CAPN8;CD163;CD19;CD1A;CD2;CD274;CDK1;COL5A2;CTSK;CXCR4;CYP2A7;DNAAF1;GPRC5A;LIF;MALL;MCEMP1;MET;MZB1;OGN;PCSK2;PECAM1;PLA2G7;PTPRC;SNCG;SNTN;SOX2;SPIB;SRPX;TCL1A,EPCAM;CRISPLD2;PROX1
virchow,LYMPH_IDC,0,14972,4992,3,10544,24,50,0,,0.31732978390679295,0.2603712723526383,0.31732978390679295,0.2603712723526383,0.056958511554154656,0.056958511554154656,0.340036243031757,0.23050064388915198,AAMDC;ANKS1B;CCL28;CCNO;CD72;CLNS1A;CROT;CXCL11;CYP4Z1;DAPK1;EPHB3;GTPBP3;IFI44L;MX1;NUDT1;PARD6B;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSF1;SCRN1;SNCG;TCF7;TMEM64,ABHD8;C19orf33;CA2;CDCA7;CHEK2;CMPK2;CTXN1;DEPDC1;FXYD6;GDF15;GINS4;IDO1;IFIT3;ITGB4;MARVELD3;MCM10;PAK1;PDE5A;SCGB1D2;SCGB2A2;SERPINA3;SLC12A2;SPOCK2;TSPYL5;TTC30A;VLDLR
virchow,LYMPH_IDC,1,14972,4992,3,10920,21,50,0,,0.2201974748959211,0.18757876181172217,0.2201974748959211,0.18757876181172217,0.03261871308419892,0.03261871308419892,0.21372573527055774,0.1564118538151609,ANKS1B;AREG;CCNO;CD22;CD72;CROT;CXCL10;CXCL11;CYP4Z1;DAPK1;HAAO;IFI44L;IGHV3-11;MAPK8IP2;MX2;MYH11;NUDT1;PARD6B;PDZK1IP1;POLD3;PTRH2;RAB38;RSF1;SCRN1;SERPINI1;SNCG;TCF7;TMEM64;ZMAT5,AADAT;ACKR1;AKR7A3;BLK;CES3;CNTNAP2;CR2;DEGS2;ENPP3;FADS1;FAM129C;GZMB;IFIT3;IGHD;IGHG4;IGHJ2;IGHV1-46;IGHV5-10-1;IGLV6-57;KIF16B;KMO;NDRG1;PAQR6;PAX5;PHLDA2;RGS13;S100A7;SLC44A4;TCL1A
virchow,LYMPH_IDC,2,14976,4988,3,10364,16,50,0,,0.2745724103709914,0.17281845730501946,0.2745724103709914,0.17281845730501946,0.10175395306597193,0.10175395306597193,0.3230837356386611,0.17344556936517297,AAMDC;AKR1E2;ANKS1B;ANO8;CCNO;CLNS1A;CROT;CXCL10;DAPK1;EPHB3;GTPBP3;HAUS8;IFI44L;IFIT2;MAPK8IP2;MX1;MX2;MYH11;NARS2;NUDT1;OASL;PARD6B;PATZ1;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSAD2;RSF1;SCRN1;SHANK2;SNCG;ZMAT5,ABLIM3;ACTG2;ARHGAP9;CCL19;CCL21;CD37;CD79A;CXCL13;CYFIP2;DEPRECATED_ENSG00000211890;DGKA;EFS;FCMR;FGD2;FOSB;HIST1H4F;IGLV3-1;IKZF3;IRF8;JAK3;LNX1;LTB;NHSL1;PIK3CD;PLIN1;POU2AF1;PTGER3;PTPRCAP;RUBCNL;SEPT1;SFRP2;SP140;TBC1D10C;TRAJ18
virchow,LYMPH_IDC,3,14972,4992,3,10377,23,50,0,,0.2322091111428926,0.2793478676264576,0.2322091111428926,0.2793478676264576,-0.04713875648356497,-0.04713875648356497,0.25088821504384223,0.3381822085319255,AAMDC;ANO8;CCNO;CD22;CD72;CROT;CSTA;DAPK1;EPHB3;GTPBP3;HAAO;HAUS8;IFI44L;MAPK8IP2;MX1;MX2;PARD6B;PATZ1;PDZK1IP1;POLD3;PTRH2;QSOX1;RAB38;RSF1;SERPINI1;SNCG;TCF7,ABHD8;ALDH3B2;APOD;CHEK2;CMPK2;CTXN1;CXCL13;DTNA;GGT1;GGTLC3;HIST1H3E;IFIT3;ITGB4;ITGB6;KYNU;LAD1;MARVELD3;PAK1;PKIB;S100A8;SFRP4;SHISA2;SLC12A2;SLC49A3;SRD5A3;ST6GALNAC2;ZNF486
virchow,PAAD,0,5561,2010,2,109,39,47,3,UnassignedCodeword_0421;UnassignedCodeword_0461;UnassignedCodeword_0474,0.449708936344105,0.4456167909326407,0.449708936344105,0.4456167909326407,0.0040921454114642986,0.0040921454114642986,0.4710594303863722,0.4550244862874142,AIF1;CD14;CD8A;DERL3;FCGR3A;FOXP3;GPR183;HPGDS;MARCO;PLA2G7;VSIG4,CCR2;CD274;CD28;CD3D;CENPF;MZB1;SPIB;VCAN
virchow,PAAD,1,3961,3610,2,374,15,15,35,ALAS2;AMY2A;BMX;C1orf194;CCNB2;CFB;CHGA;COL17A1;DES;FGFBP1;FOXA1;FOXJ1;GCG;GHRL;GPX2;HMGCS2;INS;LGR5;LYVE1;MEDAG;MYH11;PCSK2;PPY;PTGDS;RERGL;RND1;SCGB2A1;SCGN;SELE;SERPINB3;SFRP4;SLC18A2;SST;TFF2;TM4SF4,0.6070495269272581,0.5607113017637684,0.6070495269272581,0.5607113017637684,0.04633822516348973,0.04633822516348973,0.6269088371505306,,ACTA2;AIF1;ANPEP;BANK1;CCL5;CCR7;CD14;CD19;CD1A;CD1C;CD2;CD27;CD3E;CD79A;CD8A;CXCL6;CXCR4;DERL3;EPCAM;ESR1;FCGR3A;FOXP3;GPR183;GZMA;GZMK;HPGDS;IRF8;KLRC1;LIF;LILRA4;PDCD1;SELL;TNFRSF17;UBE2C;VSIG4,
virchow,PAAD,2,5620,1951,2,102,44,49,1,IL1B,0.4912631238829936,0.4884438551910901,0.4912631238829936,0.4884438551910901,0.002819268691903465,0.002819268691903465,0.5287620397678202,0.5086329743875695,CD8A;CDK1;CPA3;FCGR3A;FOXP3;UBE2C,CD274;GZMB;KLRB1;MZB1;SPIB
virchow,PRAD,0,36819,25891,15,1673,12,50,0,,0.32836512748731667,0.275769656053594,0.32108066561251364,0.271258013660463,0.052595471433722674,0.049822651952050656,0.3095600568025642,0.24400393581302376,C1orf43;C6orf48;C8orf59;CAT;CCDC47;COX17;COX5A;COX7B;DNAJC3;EIF3E;EIF3H;GNG5;HLA-DRA;HSPD1;IMPDH2;MIF;MPC2;MRPL33;NUCB2;PCBD1;PDIA4;RPL37A;RPN1;RPS29;RSL24D1;SELENOT;SLIRP;SNHG8;SNHG9;SNRPE;SPCS3;SRRM1;SVIP;TMCO1;TOB1;TXNL4A;XBP1;ZFAS1,ACPP;ANXA1;ANXA2;APOD;APP;ATP1B3;CD46;CFD;COL3A1;CYSTM1;DDIT4;F3;FDFT1;GADD45B;GLUL;HES1;ID2;IL32;JAG1;KLF6;KRT19;LAMP2;LDLRAD4;LIFR;MKNK2;MT2A;ODC1;PRSS23;PTGDS;PTPRF;RARRES3;RASD1;RDH11;RGS5;RNASE1;RPL22L1;S100A10;SDC4
virchow,PRAD,1,25891,36819,8,1575,10,50,0,,0.3476295238289236,0.3447621953280239,0.26511030547986925,0.22929011873704194,0.002867328500899713,0.035820186742827304,0.2677909504011023,0.22301571697256817,AMD1;C1orf43;C8orf59;CAT;CCDC47;COX17;COX5A;COX7B;DNAJC3;EIF3E;EIF3H;GLO1;HSPD1;MAOA;MIF;MRPL33;MT1E;MT1X;NUDT4;PCBD1;PDIA4;PERP;REXO2;RPL37A;RPN1;RPS29;RSL24D1;SEC11C;SELENOT;SGK1;SLIRP;SNHG9;SNRPE;SPCS3;SRRM1;SVIP;TMCO1;TOB1;TXNL4A;XBP1,A2M;AGR2;ATP6V0E2;C19orf48;C1QB;CD74;CISD3;CYB5A;CYC1;CYP1B1;HLA-DRB1;IER2;IGFBP2;JUNB;MAGEH1;MARCKSL1;MAZ;NAA10;NPY;NSMCE1;PDCD5;PDLIM5;POLD2;PPA1;PRSS23;RGS2;RHOU;RPL26;RPS18;RTN3;SLC25A39;SLC25A6;SMS;SNHG19;TM7SF2;TNFSF10;TRPM4;TSPAN8;TUBB2A;UQCRH
virchow,READ,0,3819,4588,2,9532,18,50,0,,0.2466670163968347,0.39632605669905585,0.24749827526015636,0.3940233916767265,-0.14965904030222116,-0.14652511641657015,0.1721474353552478,0.40109292975613875,AC010883.3;ADAMDEC1;ANGPTL2;APOC1;BTNL3;CEMIP;CHI3L1;CLU;CXCL9;EFEMP1;FRZB;HMOX1;IGHG2;IGHG4;ITGB2;ITIH5;LAMA3;LOX;MMP9;MXI1;P3H3;PADI2;PLAAT3;PRRG3;PTGDS;SECTM1;SGK1;SMPDL3A;SPHK1;TPSB2;TSPAN9;UBD,ACKR1;AGR3;AHCYL2;B3GNT7;BCAS1;CA12;CCL19;CDHR5;CEACAM7;CES3;COL17A1;COMP;CXCL11;CXCL13;DEFA5;DEFA6;DES;GCNT3;HOXB13;ITLN1;KRT20;LCN2;MUC4;NXPE4;PI16;PI3;PLA2G10;PLAC8;SDCBP2;SLC6A8;SULT1B1;ZG16
virchow,READ,1,4588,3819,2,10041,15,50,0,,0.14961422688726947,0.16302335402648685,0.1983308964525978,0.20681722932212276,-0.01340912713921738,-0.008486332869524965,0.20450276580230714,0.21691459462455517,AC010883.3;ADAMDEC1;ANGPTL2;APOC1;BTNL3;CA2;CCL14;CD177;CEMIP;CHI3L1;CLU;CXCL8;EFEMP1;EGLN3;FRZB;HMOX1;ITGB2;ITIH5;LAMA3;LOX;MMP28;MT1F;MXI1;P3H3;PADI2;PDE9A;PLAAT3;PRRG3;SGK1;SLC26A3;SMPDL3A;SPHK1;TPSB2;TSPAN9;UBD,C2orf88;C3;CA4;CCL3;CCL4;CHGA;CLCA4;CLDN8;CSF3;CXCL5;DHRS9;GAL;GREM1;HBA1;HBA2;HBB;IDO1;IGHGP;IL11;IL6;LCN15;LYPD8;MMP10;MMP11;MMP3;MS4A12;MT1H;PKIB;PYY;REG1B;SERPINA3;SI;THBS2;TNC;TRPM6
virchow,SKCM,0,1741,1293,1,281,33,50,0,,0.6832852631247326,0.6839945077583666,0.6832852631247326,0.6839945077583666,-0.0007092446336339764,-0.0007092446336339764,0.5820641062558547,0.5841501198841899,AQP3;BIRC3;CD52;CRABP2;GZMK;HAPLN1;HBD;IDO1;ITM2A;LCK;MGP;MYH11;POSTN;TFF3;TYRP1;VIM;VWF,AZGP1;PLVAP;PERP;PTGDS;SFRP2;TFAP2B;NOTCH3;SOSTDC1;CXADR;FABP4;PROX1;PMEL;LYVE1;IL33;AREG;LGALS2;FCER1A
virchow,SKCM,1,1293,1741,1,409,28,44,6,KRT1;ARG1;LOR;COMP;CD207;C3,0.5656315446461176,0.564585167880787,0.5656315446461176,0.564585167880787,0.0010463767653305922,0.0010463767653305922,0.5289105982600852,0.5122625774162812,ACER1;AHNAK2;BIRC3;CAPNS2;CCL19;CD1B;CD52;FGFBP1;GZMK;HAPLN1;IDO1;ITM2A;LAMB3;LCK;LYZ;MGP;MMRN1;POSTN;TYRP1;VIM;VWF;WDFY4,AZGP1;PERP;CLDN1;KRT15;LYPD3;TACSTD2;TMEM45A;SYNPO2;CXADR;MYL9;CCR7;CD79A;CLDN4;PPP1R14A;MT1X;DCT
