encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
resnet50,SKCM,leave_one_sample,0,1293,1741,50,0.0078125,0.3676671683788299,1
resnet50,SKCM,leave_one_sample,1,1741,1293,50,0.0078125,0.5966987609863281,1
phikon,CCRCC,patient,0,55849,18371,50,0.0078125,0.1990351676940918,4
phikon,CCRCC,patient,1,67651,6569,50,0.0078125,0.2296069860458374,4
phikon,CCRCC,patient,2,63464,10756,50,0.0078125,0.2433832883834839,4
phikon,CCRCC,patient,3,67098,7122,50,0.0078125,0.2863361537456512,4
phikon,CCRCC,patient,4,59472,14748,50,0.0078125,0.2415822595357895,4
phikon,CCRCC,patient,5,57566,16654,50,0.0078125,0.2533766031265259,4
phikon,CCRCC,random_spot,0,55849,18371,50,0.0078125,0.6476837396621704,24
phikon,CCRCC,random_spot,1,67651,6569,50,0.0078125,0.6421829462051392,24
phikon,CCRCC,random_spot,2,63464,10756,50,0.0078125,0.6501014232635498,24
phikon,CCRCC,random_spot,3,67098,7122,50,0.0078125,0.637585461139679,24
phikon,CCRCC,random_spot,4,59472,14748,50,0.0078125,0.6420966982841492,24
phikon,CCRCC,random_spot,5,57566,16654,50,0.0078125,0.6479432582855225,24
phikon,CCRCC,leave_one_sample,0,73136,1084,50,0.0078125,0.1093972325325012,1
phikon,CCRCC,leave_one_sample,1,72237,1983,50,0.0078125,0.4697529971599579,1
phikon,CCRCC,leave_one_sample,2,72781,1439,50,0.0078125,0.0962589532136917,1
phikon,CCRCC,leave_one_sample,3,72769,1451,50,0.0078125,0.1169719025492668,1
phikon,CCRCC,leave_one_sample,4,69861,4359,50,0.0078125,0.1754113584756851,1
phikon,CCRCC,leave_one_sample,5,69658,4562,50,0.0078125,0.0740644633769989,1
phikon,CCRCC,leave_one_sample,6,69280,4940,50,0.0078125,0.130626231431961,1
phikon,CCRCC,leave_one_sample,7,71014,3206,50,0.0078125,0.0983443036675453,1
phikon,CCRCC,leave_one_sample,8,70635,3585,50,0.0078125,0.1070989146828651,1
phikon,CCRCC,leave_one_sample,9,69305,4915,50,0.0078125,0.2782564461231231,1
phikon,CCRCC,leave_one_sample,10,69272,4948,50,0.0078125,0.1151244640350341,1
phikon,CCRCC,leave_one_sample,11,71640,2580,50,0.0078125,0.2470099627971649,1
phikon,CCRCC,leave_one_sample,12,69360,4860,50,0.0078125,0.1250867992639541,1
phikon,CCRCC,leave_one_sample,13,69245,4975,50,0.0078125,0.2286310642957687,1
phikon,CCRCC,leave_one_sample,14,70391,3829,50,0.0078125,0.1217156052589416,1
phikon,CCRCC,leave_one_sample,15,69465,4755,50,0.0078125,0.0905127897858619,1
phikon,CCRCC,leave_one_sample,16,69710,4510,50,0.0078125,0.2893727719783783,1
phikon,CCRCC,leave_one_sample,17,72213,2007,50,0.0078125,0.1940815895795822,1
phikon,CCRCC,leave_one_sample,18,72871,1349,50,0.0078125,0.2049963772296905,1
phikon,CCRCC,leave_one_sample,19,73034,1186,50,0.0078125,0.4955776631832123,1
phikon,CCRCC,leave_one_sample,20,72542,1678,50,0.0078125,0.2388515621423721,1
phikon,CCRCC,leave_one_sample,21,71846,2374,50,0.0078125,-0.0341614931821823,1
phikon,CCRCC,leave_one_sample,22,72271,1949,50,0.0078125,0.1005144864320755,1
phikon,CCRCC,leave_one_sample,23,72524,1696,50,0.0078125,0.313700258731842,1
phikon,COAD,patient,0,5079,10572,50,0.0078125,0.2607622444629669,3
phikon,COAD,patient,1,10572,5079,50,0.0078125,0.2640950679779053,1
phikon,COAD,random_spot,0,5079,10572,50,0.0078125,0.731682538986206,4
phikon,COAD,random_spot,1,10572,5079,50,0.0078125,0.7394877076148987,4
phikon,COAD,leave_one_sample,0,10572,5079,50,0.0078125,0.2640950679779053,1
phikon,COAD,leave_one_sample,1,12234,3417,50,0.0078125,0.5888223052024841,1
phikon,COAD,leave_one_sample,2,12116,3535,50,0.0078125,0.5350440740585327,1
phikon,COAD,leave_one_sample,3,12031,3620,50,0.0078125,0.6077558994293213,1
phikon,HCC,patient,0,1941,2255,50,0.0078125,0.047879185527563,1
phikon,HCC,patient,1,2255,1941,50,0.0078125,0.0726819708943367,1
phikon,HCC,random_spot,0,1941,2255,50,0.0078125,0.3482205271720886,2
phikon,HCC,random_spot,1,2255,1941,50,0.0078125,0.3558269441127777,2
phikon,HCC,leave_one_sample,0,2255,1941,50,0.0078125,0.0726819708943367,1
phikon,HCC,leave_one_sample,1,1941,2255,50,0.0078125,0.047879185527563,1
phikon,IDC,patient,0,14775,20761,50,0.0078125,0.4028080403804779,1
phikon,IDC,patient,1,27776,7760,50,0.0078125,0.5869259834289551,1
phikon,IDC,patient,2,31526,4010,50,0.0078125,0.4974821209907532,1
phikon,IDC,patient,3,32531,3005,50,0.0078125,0.6434996128082275,1
phikon,IDC,random_spot,0,14775,20761,50,0.0078125,0.7915399670600891,4
phikon,IDC,random_spot,1,27776,7760,50,0.0078125,0.796599805355072,4
phikon,IDC,random_spot,2,31526,4010,50,0.0078125,0.795531690120697,4
phikon,IDC,random_spot,3,32531,3005,50,0.0078125,0.7915467619895935,4
phikon,IDC,leave_one_sample,0,32531,3005,50,0.0078125,0.6434996128082275,1
phikon,IDC,leave_one_sample,1,31526,4010,50,0.0078125,0.4974821209907532,1
phikon,IDC,leave_one_sample,2,27776,7760,50,0.0078125,0.5869259834289551,1
phikon,IDC,leave_one_sample,3,14775,20761,50,0.0078125,0.4028080403804779,1
phikon,LUNG,patient,0,1944,3262,50,0.0078125,0.5420706272125244,1
phikon,LUNG,patient,1,3262,1944,50,0.0078125,0.5510932207107544,1
phikon,LUNG,random_spot,0,1944,3262,50,0.0078125,0.794013500213623,2
phikon,LUNG,random_spot,1,3262,1944,50,0.0078125,0.8025332093238831,2
phikon,LUNG,leave_one_sample,0,3262,1944,50,0.0078125,0.5510932207107544,1
phikon,LUNG,leave_one_sample,1,1944,3262,50,0.0078125,0.5420706272125244,1
phikon,LYMPH_IDC,patient,0,14972,4992,50,0.0078125,0.3141482472419739,1
phikon,LYMPH_IDC,patient,1,14972,4992,50,0.0078125,0.195465549826622,1
phikon,LYMPH_IDC,patient,2,14976,4988,50,0.0078125,0.2254332602024078,1
phikon,LYMPH_IDC,patient,3,14972,4992,50,0.0078125,0.2141856402158737,1
phikon,LYMPH_IDC,random_spot,0,14972,4992,50,0.0078125,0.6789382100105286,4
phikon,LYMPH_IDC,random_spot,1,14972,4992,50,0.0078125,0.6789054870605469,4
phikon,LYMPH_IDC,random_spot,2,14976,4988,50,0.0078125,0.6764611005783081,4
phikon,LYMPH_IDC,random_spot,3,14972,4992,50,0.0078125,0.6850740909576416,4
phikon,LYMPH_IDC,leave_one_sample,0,14972,4992,50,0.0078125,0.2141856402158737,1
phikon,LYMPH_IDC,leave_one_sample,1,14976,4988,50,0.0078125,0.2254332602024078,1
phikon,LYMPH_IDC,leave_one_sample,2,14972,4992,50,0.0078125,0.195465549826622,1
phikon,LYMPH_IDC,leave_one_sample,3,14972,4992,50,0.0078125,0.3141482472419739,1
phikon,PAAD,patient,0,5561,2010,50,0.0078125,0.3704465627670288,1
phikon,PAAD,patient,1,3961,3610,50,0.0078125,0.5365532040596008,1
phikon,PAAD,patient,2,5620,1951,50,0.0078125,0.4202757179737091,1
